date	1. open	2. high	3. low	4. close	5. volume
2020-04-09	268.7	270.07	264.7	267.99	40529123.0
2020-04-08	262.74	267.37	261.23	266.07	42223821.0
2020-04-07	270.8	271.7	259.0	259.43	50721831.0
2020-04-06	250.9	263.11	249.38	262.47	50455071.0
2020-04-03	242.8	245.7	238.9741	241.41	32470017.0
2020-04-02	240.34	245.15	236.9	244.93	41483493.0
2020-04-01	246.5	248.72	239.13	240.91	44054638.0
2020-03-31	255.6	262.49	252.0	254.29	49250501.0
2020-03-30	250.74	255.52	249.4	254.81	41994110.0
2020-03-27	252.75	255.87	247.05	247.74	51054153.0
2020-03-26	246.52	258.68	246.36	258.44	63140169.0
2020-03-25	250.75	258.25	244.3	245.52	75900510.0
2020-03-24	236.36	247.69	234.3	246.88	71882773.0
2020-03-23	228.08	228.4997	212.61	224.37	84188208.0
2020-03-20	247.18	251.83	228.0	229.24	100423346.0
2020-03-19	247.385	252.84	242.61	244.78	67964255.0
2020-03-18	239.77	250.0	237.12	246.67	75058406.0
2020-03-17	247.51	257.61	238.4	252.86	81013965.0
2020-03-16	241.95	259.08	240.0	242.21	80605865.0
2020-03-13	264.89	279.92	252.95	277.97	92683032.0
2020-03-12	255.94	270.0	248.0	248.23	104618517.0
2020-03-11	277.39	281.22	271.86	275.43	64094970.0
2020-03-10	277.14	286.44	269.37	285.34	71322520.0
2020-03-09	263.75	278.09	263.0	266.17	71686208.0
2020-03-06	282.0	290.82	281.23	289.03	56544246.0
2020-03-05	295.52	299.55	291.41	292.92	46893219.0
2020-03-04	296.44	303.4	293.13	302.74	54794568.0
2020-03-03	303.67	304.0	285.8	289.32	79868852.0
2020-03-02	282.28	301.44	277.72	298.81	85349339.0
2020-02-28	257.26	278.41	256.37	273.36	106721230.0
2020-02-27	281.1	286.0	272.96	273.52	80151381.0
2020-02-26	286.53	297.88	286.5	292.65	49678431.0
2020-02-25	300.95	302.53	286.13	288.08	57668364.0
2020-02-24	297.26	304.18	289.23	298.18	55548828.0
2020-02-21	318.62	320.45	310.5	313.05	32426415.0
2020-02-20	322.63	324.65	318.21	320.3	25141489.0
2020-02-19	320.0	324.57	320.0	323.62	23495991.0
2020-02-18	315.36	319.75	314.61	319.0	38190545.0
2020-02-14	324.73	325.98	322.85	324.95	20028447.0
2020-02-13	324.19	326.22	323.35	324.87	23686892.0
2020-02-12	321.47	327.22	321.47	327.2	28432573.0
2020-02-11	323.6	323.9	318.71	319.61	23580780.0
2020-02-10	314.18	321.55	313.85	321.55	27337215.0
2020-02-07	322.37	323.4	318.0	320.03	29421012.0
2020-02-06	322.57	325.22	320.2648	325.21	26356385.0
2020-02-05	323.52	324.76	318.95	321.45	29706718.0
2020-02-04	315.31	319.64	313.6345	318.85	34154134.0
2020-02-03	304.3	313.49	302.22	308.66	43496401.0
2020-01-31	320.93	322.68	308.29	309.51	49897096.0
2020-01-30	320.5435	324.09	318.75	323.87	31685808.0
2020-01-29	324.45	327.85	321.38	324.34	54149928.0
2020-01-28	312.6	318.4	312.19	317.69	40558486.0
2020-01-27	310.06	311.77	304.88	308.95	40485005.0
2020-01-24	320.25	323.33	317.5188	318.31	36634380.0
2020-01-23	317.92	319.56	315.65	319.23	26117993.0
2020-01-22	318.58	319.99	317.31	317.7	25458115.0
2020-01-21	317.19	319.02	316.0	316.57	27235039.0
2020-01-17	316.27	318.74	315.0	318.73	34454117.0
2020-01-16	313.59	315.7	312.09	315.24	27207254.0
2020-01-15	311.85	315.5	309.55	311.34	30480882.0
2020-01-14	316.7	317.57	312.17	312.68	40653457.0
2020-01-13	311.64	317.07	311.15	316.96	30028742.0
2020-01-10	310.6	312.67	308.25	310.33	35217272.0
2020-01-09	307.235	310.43	306.2	309.63	42621542.0
2020-01-08	297.16	304.4399	297.156	303.19	33090946.0
2020-01-07	299.84	300.9	297.48	298.39	27877655.0
2020-01-06	293.79	299.96	292.75	299.8	29644644.0
2020-01-03	297.15	300.58	296.5	297.43	36633878.0
2020-01-02	296.24	300.6	295.19	300.35	33911864.0
2019-12-31	289.93	293.68	289.52	293.65	25247625.0
2019-12-30	289.46	292.69	285.22	291.52	36059614.0
2019-12-27	291.12	293.97	288.12	289.8	36592936.0
2019-12-26	284.82	289.98	284.7	289.91	23334004.0
2019-12-24	284.69	284.89	282.9197	284.27	12119714.0
2019-12-23	280.53	284.25	280.3735	284.0	24677883.0
2019-12-20	282.23	282.65	278.56	279.44	69032743.0
2019-12-19	279.5	281.18	278.95	280.02	24626947.0
2019-12-18	279.8	281.9	279.12	279.74	29024687.0
2019-12-17	279.57	281.77	278.8	280.41	28575798.0
2019-12-16	277.0	280.79	276.98	279.86	32081105.0
2019-12-13	271.46	275.3	270.93	275.15	33432806.0
2019-12-12	267.78	272.5599	267.321	271.46	34437042.0
2019-12-11	268.81	271.1	268.5	270.77	19723391.0
2019-12-10	268.6	270.07	265.86	268.48	22632383.0
2019-12-09	270.0	270.8	264.91	266.92	32182645.0
2019-12-06	267.48	271.0	267.3	270.71	26547493.0
2019-12-05	263.79	265.89	262.73	265.58	18661343.0
2019-12-04	261.07	263.31	260.68	261.74	16810388.0
2019-12-03	258.31	259.53	256.29	259.45	29377268.0
2019-12-02	267.27	268.25	263.45	264.16	23693550.0
2019-11-29	266.6	268.0	265.9	267.25	11654363.0
2019-11-27	265.58	267.98	265.31	267.84	16386122.0
2019-11-26	266.94	267.16	262.5	264.29	26334882.0
2019-11-25	262.71	266.44	262.52	266.37	21029517.0
2019-11-22	262.59	263.18	260.84	261.78	16331263.0
2019-11-21	263.69	264.005	261.18	262.01	30348778.0
2019-11-20	265.54	266.083	260.4	263.19	26609919.0
2019-11-19	267.9	268.0	265.3926	266.29	19069597.0
2019-11-18	265.8	267.43	264.23	267.1	21700897.0
2019-11-15	263.68	265.78	263.01	265.76	25093666.0
